sample,dx_px,dy_px,depth_boundary_distance,depth_boundary_pixels,selected_dx_px,selected_dy_px,selected_mean_depth_boundary_distance,baseline_mean_depth_boundary_distance
103_seq385,-2,-2,22.265153884887695,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,-2,23.41048240661621,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,-2,23.24484634399414,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,-1,21.37993049621582,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,-1,24.852025985717773,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,-1,23.143383026123047,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,0,21.048234939575195,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,0,24.6214599609375,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,0,22.99688720703125,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,1,22.136266708374023,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,1,22.986852645874023,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,1,22.882221221923828,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,2,21.209474563598633,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,2,23.06509017944336,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,2,22.737213134765625,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,-2,22.22284698486328,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,-2,24.96395492553711,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,-2,23.216617584228516,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,-1,21.63827896118164,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,-1,24.759958267211914,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,-1,23.079551696777344,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,0,21.311479568481445,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,0,23.27292251586914,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,0,22.953067779541016,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,1,21.581581115722656,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,1,24.243873596191406,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,1,22.7469482421875,6075,-2,2,22.33725929260254,23.50252914428711
