sample,aligned_id,sequence,candidate,allowed_for_generation,rgb_source,lwir_source,lwir_model,rgb_crop_offset_xy,lwir_crop_offset_xy,rule_source,rgb_valid_ratio,lwir_valid_ratio,intersection_valid_ratio,eval_rgb_to_mm5_aligned_rgb_ncc,eval_rgb_to_mm5_aligned_rgb_edge_distance,eval_rgb_to_mm5_aligned_rgb_valid_ratio,eval_rgb_to_mm5_aligned_rgb_score,eval_rgb_to_mm5_aligned_rgb_mi,eval_lwir_to_mm5_aligned_t16_ncc,eval_lwir_to_mm5_aligned_t16_edge_distance,eval_lwir_to_mm5_aligned_t16_valid_ratio,eval_lwir_to_mm5_aligned_t16_score,eval_lwir_to_mm5_aligned_t16_mi,eval_cross_rgb_lwir_ncc,eval_cross_rgb_lwir_edge_distance,eval_cross_rgb_lwir_valid_ratio,eval_cross_rgb_lwir_score,eval_cross_rgb_lwir_mi,method,lwir_crop_mode,transform_type,board_transform_name,board_transform_inliers,board_transform_mae_px,board_transform_rmse_px,board_transform_matrix,depth_registration_dx_px,depth_registration_dy_px,stabilization_kernel_px,fill_depth_border,uses_aligned_for_generation,anti_ghost_feather_px,anti_ghost_erode_px,max_support_area_frac,calibration_file,thermal_camera_calibration_file,target_size,phase29_class,phase29_profile,phase29_support_mode,phase29_selection_uses_aligned,phase29_selector_version,phase29_version_label,phase29_candidate_grid,phase29_run_mode,phase29_report_level,phase29_explainability_level,phase29_reliability_gate,phase29_failure_focus,raw_score,raw_symmetric_edge_distance,raw_lwir_to_rgb_edge_distance,raw_rgb_to_lwir_edge_distance,raw_lwir_to_depth_edge_distance,raw_depth_to_lwir_edge_distance,target_local_symmetric_edge_distance,target_local_lwir_to_rgb_edge_distance,target_local_rgb_to_lwir_edge_distance,target_local_lwir_to_depth_edge_distance,target_local_depth_to_lwir_edge_distance,target_local_edge_p70,target_local_edge_p90,target_local_lwir_edge_pixels,target_local_rgb_edge_pixels,target_local_depth_edge_pixels,edge_stability_score,target_local_depth_edge_p90,raw_lwir_edge_pixels,raw_rgb_edge_pixels,raw_depth_edge_pixels,support_pixels,support_ratio,support_compactness,thermal_support_overlap,thermal_depth_overlap,support_thermal_overlap,thermal_support_centroid_distance_px,thermal_pixels,rejected_background_pixels,tear_risk_pixels,ghost_edge_ratio,alpha_edge_overlap,depth_discontinuity_pixels,support_penalty,compactness_penalty,fill_penalty,depth_edge_penalty,overlap_penalty,centroid_penalty,phase29_scene_class,phase29_selected,phase29_selection_reason,phase29_selector_eligible,phase29_selector_rejection,phase29_selector_adjusted_score,phase29_selector_rule,phase29_selector_shift_delta_dx,phase29_selector_shift_delta_dy,phase29_selector_shift_l1,phase29_selector_raw_improvement,phase29_selector_edge_growth,phase29_selector_support_ratio,phase29_selector_target_edge_gain,phase29_selector_target_p90_gain,phase29_selector_context_edge_delta,phase29_selector_version_effective,phase29_selector_reliability_gate,phase29_selector_v9_note,sample_id,phase29_v9_support_gated,phase29_v9_gate_mode,phase29_v9_gate_pixels,phase29_v9_background_value,phase29_v9_target_value,phase29_v9_valid_ratio
023_seq305,23,305,p29_baseline,True,phase21_fixed_rgb_canvas,phase24_affine_lwir_subpixel_shift_depth_fill_then_morph_close,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9477844834327698,1.407812476158142,0.9317578125,1.2007811182016275,1.7429567308387108,-0.23350155353546143,0.5880146622657776,0.9317578125,-0.2076850029926365,0.19563092344279726,p29_baseline,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,9,True,False,3.0,2,0.1,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,baseline,False,v6,v9,support-v9,strict-selected,research,full,strict,all,13.867855569893475,5.6665012538433075,0.5689186453819275,10.764083862304688,18.877721786499023,18.99268913269043,4.901218056678772,0.6948130130767822,9.107623100280762,23.071571350097656,19.904956817626953,6.225050002336502,10.98250013589859,360,4271,287,2.010908231139183,32.12661552429199,479,7106,524,4841,0.015758463541666667,0.5472009915306755,1.0,1.0,0.5735154017148301,46.38735241602594,1604,944,1903,0.8353841946951053,0.5610576923076923,524,0.0,0.011196033877298284,0.0,3.12,0.0,0.8920644695389603,general,True,selector v6 retained baseline; best raw improvement 0.1647; safety filters rejected candidates (p29_depth_conservative: depth/reflection/edge guard candidates are diagnostic-only by default; p29_reflection_guard: depth/reflection/edge guard candidates are diagnostic-only by default; p29_small_target_guard: raw improvement -0.1222 is below 0.6500; +18 more rejected),True,,13.867855569893475,v6_baseline,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,v6,strict,v6 baseline row; aligned metrics are not used for selection.,023_seq305,,,,,,
023_seq305,23,305,p29_depth_conservative,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9421315789222717,9.656195640563965,0.9317578125,1.1434858650953112,1.7286097334428216,-0.24327431619167328,0.576418399810791,0.9317578125,-0.2174796670004901,0.19502106393365282,p29_depth_conservative,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,9,False,False,4.0,3,0.075,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,depth_conservative,False,v6,v9,support-v9,strict-selected,research,full,strict,all,13.787969908125259,5.515592604875565,0.5754061341285706,10.455779075622559,19.155811309814453,18.985294342041016,4.869746297597885,0.730726420879364,9.008766174316406,23.69196319580078,20.294246673583984,6.225050002336502,10.98250013589859,341,3849,262,1.891471341252327,31.620306968688965,471,6694,483,4393,0.014300130208333333,0.5465513316640109,1.0,1.0,0.5735154017148301,46.38735241602594,1604,1392,1936,0.8288157704015074,0.5682464454976304,483,0.0,0.013794673343956454,0.0,3.12,0.0,0.8920644695389603,general,False,,False,depth/reflection/edge guard candidates are diagnostic-only by default,13.787969908125259,diagnostic_guard_block,0.0,0.0,0.0,0.07988566176821621,0.9832985386221295,0.9074571369551746,0.03147175908088684,0.0,-0.15090864896774292,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,,,,,,
023_seq305,23,305,p29_reflection_guard,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9421315789222717,9.656195640563965,0.9317578125,1.1434858650953112,1.7286097334428216,-0.24327431619167328,0.576418399810791,0.9317578125,-0.2174796670004901,0.19502106393365282,p29_reflection_guard,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,9,False,False,4.5,3,0.055,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,reflection_guard,False,v6,v9,support-v9,strict-selected,research,full,strict,all,13.847548054125117,5.515592604875565,0.5754061341285706,10.455779075622559,19.155811309814453,18.985294342041016,4.869746297597885,0.730726420879364,9.008766174316406,23.69196319580078,20.294246673583984,6.225050002336502,10.98250013589859,341,3849,262,1.891471341252327,31.620306968688965,471,6694,483,4393,0.014300130208333333,0.5465513316640109,1.0,1.0,0.5735154017148301,46.38735241602594,1604,1392,1994,0.8288157704015074,0.5876865671641791,483,0.0,0.013794673343956454,0.0,3.12,0.0,0.8920644695389603,general,False,,False,depth/reflection/edge guard candidates are diagnostic-only by default,13.847548054125117,diagnostic_guard_block,0.0,0.0,0.0,0.02030751576835854,0.9832985386221295,0.9074571369551746,0.03147175908088684,0.0,-0.15090864896774292,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,,,,,,
023_seq305,23,305,p29_small_target_guard,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9463859796524048,1.4861167669296265,0.9317578125,1.1954833649730756,1.7200939061483238,-0.23379173874855042,0.5976049900054932,0.9317578125,-0.2084793430884066,0.19265350400117842,p29_small_target_guard,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,5,True,False,3.0,2,0.065,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,small_target_guard,False,v6,v9,support-v9,strict-selected,research,full,strict,all,13.990090616940847,5.773155689239502,0.5769281387329102,10.969383239746094,18.360641479492188,19.333873748779297,4.932147979736328,0.7039222717285156,9.16037368774414,22.55533218383789,19.982738494873047,6.3514499962329865,11.017601072788239,360,4271,287,2.0954079777002335,31.68141746520996,483,7106,524,4841,0.015758463541666667,0.5472009915306755,1.0,1.0,0.5735154017148301,46.38735241602594,1604,944,1911,0.8374760994263862,0.5658653846153846,524,0.0,0.011196033877298284,0.0,3.12,0.0,0.8920644695389603,general,False,,False,raw improvement -0.1222 is below 0.6500,14.210090616940848,small_target_guard_block,0.0,0.0,0.0,-0.12223504704737209,1.0083507306889352,1.0,-0.030929923057556152,-0.03510093688964844,0.10665443539619446,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,,,,,,
023_seq305,23,305,p29_edge_contamination_guard,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9421315789222717,9.656195640563965,0.9317578125,1.1434858650953112,1.7286097334428216,-0.24327431619167328,0.576418399810791,0.9317578125,-0.2174796670004901,0.19502106393365282,p29_edge_contamination_guard,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,9,False,False,4.0,3,0.08,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,edge_contamination_guard,False,v6,v9,support-v9,strict-selected,research,full,strict,all,13.787969908125259,5.515592604875565,0.5754061341285706,10.455779075622559,19.155811309814453,18.985294342041016,4.869746297597885,0.730726420879364,9.008766174316406,23.69196319580078,20.294246673583984,6.225050002336502,10.98250013589859,341,3849,262,1.891471341252327,31.620306968688965,471,6694,483,4393,0.014300130208333333,0.5465513316640109,1.0,1.0,0.5735154017148301,46.38735241602594,1604,1392,1936,0.8288157704015074,0.5682464454976304,483,0.0,0.013794673343956454,0.0,3.12,0.0,0.8920644695389603,general,False,,False,depth/reflection/edge guard candidates are diagnostic-only by default,13.787969908125259,diagnostic_guard_block,0.0,0.0,0.0,0.07988566176821621,0.9832985386221295,0.9074571369551746,0.03147175908088684,0.0,-0.15090864896774292,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,,,,,,
023_seq305,23,305,p29_v9_support_gated,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9222244024276733,1.6079497337341309,0.9317578125,1.1335095382732712,1.4728855616533503,-0.3173181712627411,0.7964239716529846,0.9317578125,-0.29408895155088577,0.18671842361182123,p29_v9_support_gated,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,5,True,False,7.0,3,0.075,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,v9_support_gated,False,v6,v9,support-v9,strict-selected,research,full,strict,all,15.075927110621354,6.290710628032684,0.7776530981063843,11.803768157958984,19.72293472290039,18.94025421142578,4.991073310375214,0.7776530981063843,9.204493522644043,21.49083137512207,19.430723190307617,6.425177603960037,10.98250013589859,309,3849,262,2.5452623516321182,29.719435691833496,309,6694,483,4393,0.014300130208333333,0.5465513316640109,1.0,1.0,0.6208320101619562,45.92577838956691,1668,1392,2301,0.8958545454545455,0.6823630136986302,483,0.0,0.013794673343956454,0.0,3.12,0.0,0.8831880459532098,general,False,,False,v9 support-gated mode is reserved for reflection/background scenes,10.26608,v9_reflection_block,0.0,0.0,0.0,-1.2080715407278788,0.6450939457202505,0.9074571369551746,-0.08985525369644165,0.0,0.6242093741893768,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,True,v9_support_gated,8808,72,,0.9317578125
023_seq305,23,305,p29_v9_support_gated_tight,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9345661997795105,1.6037331819534302,0.9317578125,1.1496022455373893,1.4977229656639957,-0.3257870674133301,0.8520717620849609,0.9317578125,-0.3021996231754463,0.19133249873595692,p29_v9_support_gated_tight,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,5,True,False,8.0,4,0.055,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,v9_support_gated_tight,False,v6,v9,support-v9,strict-selected,research,full,strict,all,15.040418776950732,6.2198576629161835,0.8060435652732849,11.633671760559082,20.421586990356445,19.34417152404785,4.93279692530632,0.8060435652732849,9.059550285339355,22.41295623779297,19.938005447387695,6.288249999284744,10.98250013589859,301,3463,238,2.532685771584511,31.21969985961914,301,6277,442,3961,0.012893880208333333,0.545569300681646,1.0,1.0,0.6378215306446491,44.99825609025118,1701,1824,2325,0.892314843507902,0.6734520780322307,442,0.0,0.01772279727341619,0.0,3.12,0.0,0.8653510786586766,general,False,,False,v9 support candidate mode is diagnostic-only unless a dedicated raw/depth gate allows it,10.233690000000001,v9_mode_block,0.0,0.0,0.0,-1.172563207057257,0.6283924843423799,0.8182193761619501,-0.03157886862754822,0.0,0.553356409072876,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,True,v9_support_gated_tight,7169,71,,0.9317578125
023_seq305,23,305,p29_v9_target_only,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.929890513420105,1.4782063961029053,0.9317578125,1.1452439983299478,1.4948181552430675,-0.3149470388889313,0.7698342800140381,0.9317578125,-0.2915473101328081,0.1867915629080491,p29_v9_target_only,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,5,True,False,8.0,4,0.045,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,v9_target_only,False,v6,v9,support-v9,strict-selected,research,full,strict,all,15.336526729659925,6.496742635965347,0.7322261929512024,12.261259078979492,20.228519439697266,20.25857925415039,5.2940409779548645,0.7371736764907837,9.850908279418945,22.265872955322266,21.829856872558594,6.684999972581863,12.158686697483063,296,3463,238,2.7423733323812485,31.84115219116211,298,6277,442,3961,0.012893880208333333,0.545569300681646,1.0,1.0,0.2559542711972055,92.92438604794204,879,1824,2320,0.8904577191621412,0.6738761662425785,442,0.0,0.01772279727341619,0.0,3.12,0.0,0.9230769230769231,general,False,,False,v9 target-only blocked because baseline thermal target is not weak/small,10.197270000000001,v9_target_only_block,0.0,0.0,0.0,-1.4686711597664495,0.6221294363256785,0.8182193761619501,-0.39282292127609253,-1.1761865615844727,0.8302413821220398,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,True,v9_target_only,4127,64,,0.9317578125
023_seq305,23,305,p29_v9_depth_thermal,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9272598028182983,1.610064148902893,0.9317578125,1.139075142170147,1.4765048283017734,-0.32346877455711365,0.8079012632369995,0.9317578125,-0.30000490333447577,0.18874185868039906,p29_v9_depth_thermal,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,5,True,False,7.0,3,0.065,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,v9_depth_thermal,False,v6,v9,support-v9,strict-selected,research,full,strict,all,15.054361434486239,6.305651605129242,0.7952708005905151,11.816032409667969,19.77655029296875,18.929845809936523,5.00155633687973,0.7952708005905151,9.207841873168945,21.521757125854492,19.411531448364258,6.425177603960037,10.98250013589859,308,3849,262,2.5497203022241592,29.723999977111816,308,6694,483,4393,0.014300130208333333,0.5465513316640109,1.0,1.0,0.7286440139726897,43.63667462289528,1815,1392,2303,0.8965667733488507,0.6815068493150684,483,0.0,0.013794673343956454,0.0,3.12,0.0,0.839166819671063,general,False,,False,v9 depth-thermal mode is reserved for double-edge mismatch scenes,10.25826,v9_depth_thermal_block,0.0,0.0,0.0,-1.186505864592764,0.6430062630480167,0.9074571369551746,-0.10033828020095825,0.0,0.6391503512859344,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,True,v9_depth_thermal,8226,72,,0.9317578125
023_seq305,23,305,p29_v9_target_silhouette,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9317578125,0.9317578125,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.7320744395256042,2.7706046104431152,0.9317578125,0.9272217272260789,1.411806102420889,-0.19358670711517334,1.8566228151321411,0.9317578125,-0.18218676748578794,0.1502645101345216,p29_v9_target_silhouette,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",3.5,2.0,5,True,False,7.0,3,0.045,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,v9_target_silhouette,False,v6,v9,support-v9,strict-selected,research,full,strict,all,15.159769268093559,6.381622672080994,1.003554105758667,11.75969123840332,19.015840530395508,14.226582527160645,5.3243274092674255,1.0263327360153198,9.622322082519531,20.137331008911133,14.29119873046875,6.684999972581863,11.396799683570862,303,3849,262,2.4064951837062836,34.589948654174805,316,6694,483,4393,0.014300130208333333,0.5465513316640109,1.0,1.0,0.6020959034614163,45.14558075069038,1944,1392,2286,0.8947445255474452,0.690068493150685,483,0.0,0.013794673343956454,0.0,3.12,0.0,0.8681842452055842,general,False,,False,v9 silhouette lacks thermal/support centroid disagreement,10.233270000000001,v9_silhouette_block,0.0,0.0,0.0,-1.2919136982000836,0.6597077244258872,0.9074571369551746,-0.42310935258865356,-0.41429954767227173,0.7151214182376862,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,True,v9_target_silhouette,4127,64,90.0,0.9317578125
023_seq305,23,305,p29_raw_shift_dx2p5_dy1p0_fill,True,phase21_fixed_rgb_canvas,phase23_crop_plus_board_residual_transform,,"[296, 103]","[280, 115]","Phase29 candidate generated from calibration files, raw RGB/LWIR/depth, Phase24 board-affine geometry, Phase25 depth projection support, and raw-only scene reliability scoring. MM5 aligned images are evaluation-only.",1.0,0.9331673177083334,0.9331673177083334,0.9929981827735901,0.10403645038604736,1.0,1.1547430153730078,1.082460342011559,0.9496110081672668,1.5399236679077148,0.9331673177083334,1.1993834022330996,1.7267462404885259,-0.2459796518087387,0.5639783143997192,0.9331673177083334,-0.2193881872599508,0.19983556290124166,p29_raw_shift_dx2p5_dy1p0_fill,board_all_median_floor,affine,affine_lmeds,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",2.5,1.0,9,True,False,3.0,2,0.1,calibration/def_stereocalib_THERM.yml,calibration/def_thermalcam_ori.yml,640x480,broad_generalization_raw_only_selection,broad,raw_shift_local,False,v6,v9,support-v9,strict-selected,research,full,strict,all,13.963223532775043,5.830244958400726,0.6001995801925659,11.060290336608887,18.857425689697266,19.96745491027832,4.951333194971085,0.6463568806648254,9.256309509277344,23.37196159362793,20.904706954956055,6.414649993181229,11.080800116062164,343,4271,287,2.149111792445183,32.33376502990723,471,7106,524,4841,0.015758463541666667,0.5472009915306755,1.0,1.0,0.559225150841537,43.486003346328566,1475,944,1880,0.8348098677933761,0.5677884615384615,524,0.0,0.011196033877298284,0.0,3.12,0.0,0.8362692951217032,general,False,,False,raw improvement -0.0954 is below 0.6000,14.063223532775043,generic_block,-1.0,-1.0,2.0,-0.09536796288156779,0.9832985386221295,1.0,-0.05011513829231262,-0.09829998016357422,0.16374370455741882,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.,023_seq305,,,,,,
