sample_id,candidate,raw_score,raw_symmetric_edge_distance,eval_edge,phase29_selector_eligible,phase29_selector_rejection,phase29_selector_adjusted_score,phase29_selector_rule,phase29_selector_shift_delta_dx,phase29_selector_shift_delta_dy,phase29_selector_shift_l1,phase29_selector_raw_improvement,phase29_selector_edge_growth,phase29_selector_support_ratio,phase29_selector_target_edge_gain,phase29_selector_target_p90_gain,phase29_selector_context_edge_delta,phase29_selector_version_effective,phase29_selector_reliability_gate,phase29_selector_v9_note
002_seq283,p29_baseline,14.566945727441087,6.068996012210846,1.2045114040374756,True,,14.566945727441087,v6_baseline,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,v6,strict,v6 baseline row; aligned metrics are not used for selection.
002_seq283,p29_depth_conservative,14.383343699201506,5.8388835191726685,6.730373859405518,False,depth/reflection/edge guard candidates are diagnostic-only by default,14.383343699201506,diagnostic_guard_block,0.0,0.0,0.0,0.18360202823958183,0.9940564635958395,0.9133716345612256,0.13062208890914917,0.18959999084472656,-0.2301124930381775,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_reflection_guard,14.342984244656051,5.8388835191726685,6.730373859405518,False,depth/reflection/edge guard candidates are diagnostic-only by default,14.342984244656051,diagnostic_guard_block,0.0,0.0,0.0,0.22396148278503603,0.9940564635958395,0.9206939281288724,0.13062208890914917,0.18959999084472656,-0.2301124930381775,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_small_target_guard,14.36188389571098,5.906509459018707,1.1867592334747314,False,raw improvement 0.2051 is below 0.6500,14.58188389571098,small_target_guard_block,0.0,0.0,0.0,0.2050618317301076,1.0312035661218424,1.0,0.1380821168422699,0.18959999084472656,-0.16248655319213867,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_edge_contamination_guard,14.372921024425578,5.8388835191726685,6.730373859405518,False,depth/reflection/edge guard candidates are diagnostic-only by default,14.372921024425578,diagnostic_guard_block,0.0,0.0,0.0,0.19402470301550956,0.9940564635958395,0.9206939281288724,0.13062208890914917,0.18959999084472656,-0.2301124930381775,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_v9_support_gated,13.767278304216953,5.601619899272919,1.5008248090744019,False,v9 support-gated mode is reserved for reflection/background scenes,10.97495,v9_reflection_block,0.0,0.0,0.0,0.7996674232241343,0.9465081723625557,0.9206939281288724,0.3878561854362488,0.6670998930931091,-0.46737611293792725,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_v9_support_gated_tight,13.95529044308397,5.594246447086334,1.4364404678344727,False,v9 support candidate mode is diagnostic-only unless a dedicated raw/depth gate allows it,10.87176,v9_mode_block,0.0,0.0,0.0,0.6116552843571181,0.8870728083209509,0.8431902669820885,0.3184097409248352,0.45994991064071655,-0.4747495651245117,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_v9_target_only,14.957820252368682,6.4836739003658295,1.3662140369415283,False,v9 target-only blocked because baseline thermal target is not weak/small,10.7253,v9_target_only_block,0.0,0.0,0.0,-0.3908745249275949,0.812778603268945,0.8431902669820885,-0.4214472472667694,-1.432500422000885,0.4146778881549835,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_v9_depth_thermal,14.06632746779672,5.811353027820587,1.4520119428634644,False,v9 depth-thermal mode is reserved for double-edge mismatch scenes,10.91472,v9_depth_thermal_block,0.0,0.0,0.0,0.5006182596443676,0.9078751857355126,0.9206939281288724,0.21412664651870728,0.4142999053001404,-0.2576429843902588,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_v9_target_silhouette,26.92053670850959,18.32212781906128,2.5105056762695312,False,v9 silhouette lacks thermal/support centroid disagreement,10.0753,v9_silhouette_block,0.0,0.0,0.0,-12.353590981068503,0.3298662704309064,0.9206939281288724,-11.40818989276886,-43.245350420475006,12.253131806850433,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
002_seq283,p29_raw_shift_dx2p5_dy1p0_fill,14.448958004905297,6.004397630691528,1.161271572113037,False,raw improvement 0.1180 is below 0.6000,14.548958004905296,generic_block,-1.0,-1.0,2.0,0.1179877225357906,1.0416047548291234,1.0,0.13613960146903992,0.08074951171875,-0.06459838151931763,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
